Metric,Value,project,model,positive_days
Recall,0.0255555556,fluent-bit,Random,14
Recall,0.0037037037,icu,Random,14
Recall,0.0154166667,libvips,Random,14
AUC_ROC,0.5969149677,fluent-bit,RandomForest,14
AUC_ROC,0.7196346435,icu,RandomForest,14
AUC_ROC,0.3558949252,libvips,RandomForest,14
Accuracy,0.5550300097,fluent-bit,RandomForest,14
Accuracy,0.6621621622,icu,RandomForest,14
Accuracy,0.6659701384,libvips,RandomForest,14
F1-Score,0.0547954095,fluent-bit,RandomForest,14
F1-Score,0.1394699125,icu,RandomForest,14
F1-Score,0.0536643888,libvips,RandomForest,14
MCC,0.0346258391,fluent-bit,RandomForest,14
MCC,0.1448268088,icu,RandomForest,14
MCC,-0.0191080799,libvips,RandomForest,14
PR_AUC,0.0691609358,fluent-bit,RandomForest,14
PR_AUC,0.155283262,icu,RandomForest,14
PR_AUC,0.0787458046,libvips,RandomForest,14
Precision,0.0166991835,fluent-bit,RandomForest,14
Precision,0.0305979114,icu,RandomForest,14
Precision,0.0165110215,libvips,RandomForest,14
Recall,0.6,fluent-bit,RandomForest,14
Recall,0.7314814815,icu,RandomForest,14
Recall,0.18125,libvips,RandomForest,14
AUC_ROC,0.599107906,fluent-bit,XGBoost,14
AUC_ROC,0.5963716044,icu,XGBoost,14
AUC_ROC,0.4603742785,libvips,XGBoost,14
Accuracy,0.7105207837,fluent-bit,XGBoost,14
Accuracy,0.8830705706,icu,XGBoost,14
Accuracy,0.7733099942,libvips,XGBoost,14
F1-Score,0.0273500967,fluent-bit,XGBoost,14
F1-Score,0.0441624191,icu,XGBoost,14
F1-Score,0.0258804113,libvips,XGBoost,14
MCC,0.0290815492,fluent-bit,XGBoost,14
MCC,0.0339066813,icu,XGBoost,14
MCC,-0.0086742417,libvips,XGBoost,14
PR_AUC,0.0525370958,fluent-bit,XGBoost,14
PR_AUC,0.0631716369,icu,XGBoost,14
PR_AUC,0.0380560466,libvips,XGBoost,14
Precision,0.0083205058,fluent-bit,XGBoost,14
Precision,0.0172374628,icu,XGBoost,14
Precision,0.0092957836,libvips,XGBoost,14
Recall,0.3322222222,fluent-bit,XGBoost,14
Recall,0.2013888889,icu,XGBoost,14
Recall,0.1225,libvips,XGBoost,14
AUC_ROC,0.498062948,clamav,Random,12
Accuracy,0.932771261,clamav,Random,12
F1-Score,0.0239047619,clamav,Random,12
MCC,-0.0059839973,clamav,Random,12
PR_AUC,0.0722306397,clamav,Random,12
Precision,0.0194174757,clamav,Random,12
Recall,0.0266666667,clamav,Random,12
AUC_ROC,0.7489335424,clamav,RandomForest,12
Accuracy,0.8321806777,clamav,RandomForest,12
F1-Score,0.2342527098,clamav,RandomForest,12
MCC,0.2014652763,clamav,RandomForest,12
PR_AUC,0.3036211545,clamav,RandomForest,12
Precision,0.1051046673,clamav,RandomForest,12
Recall,0.47,clamav,RandomForest,12
AUC_ROC,0.5819796894,clamav,XGBoost,12
Accuracy,0.9025048876,clamav,XGBoost,12
F1-Score,0.0927797613,clamav,XGBoost,12
MCC,0.0719485308,clamav,XGBoost,12
PR_AUC,0.1261034779,clamav,XGBoost,12
Precision,0.056600092,clamav,XGBoost,12
Recall,0.1777777778,clamav,XGBoost,12
